Position,Move,Times_Repeated,Move_Number,Side,Original_Eval_Before,Original_Eval_After,Original_Eval_Drop,Original_Move_Quality,Stockfish_Eval_Drop,Stockfish_Move_Quality,Stockfish_Best_Move,Opening,Move_Theme,Board_Image,Your_Move_Eval,Best_Move_Eval,Eval_Difference
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,64,7,White,0.25,0.25,0.0,Best,55,Good,cxd5,Queen's Gambit,knight_development; knight_development,board_images/board_015.png,,,
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c4,61,3,White,0.47,0.21,0.26,Blunder,74,Good,Nc3,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_016.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Nxe4,59,8,Black,-0.22,-0.16,-0.06,Inaccuracy,52,Excellent,Nxe4,Petroff Defense,tactical; capture,board_images/board_017.png,-0.16,0.36,0.52
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq - 1 3,Nf6,59,6,Black,0.21,0.23,-0.02,Good,-56,Excellent,Nf6,Queen's Gambit,knight_development; knight_development,board_images/board_018.png,,,
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,56,7,White,0.33,0.24,0.09,Inaccuracy,59,Good,e3,Queen's Gambit,knight_development; knight_development,board_images/board_019.png,,,
rnbqkb1r/pppppp1p/5np1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,54,5,White,0.28,0.31,-0.03,Good,58,Good,h4,King's Indian Defense,knight_development; knight_development,board_images/board_020.png,,,
rnbqkbnr/pppp1ppp/8/4p3/4P3/2N5/PPPP1PPP/R1BQKBNR b KQkq - 1 2,Nf6,53,4,Black,0.17,0.1,0.07,Inaccuracy,-32,Good,Nc6,King's Pawn Game,knight_development; knight_development,board_images/board_021.png,,,
rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq - 1 2,c5,49,4,Black,0.22,0.21,0.01,Excellent,-35,Good,Nf6,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_022.png,,,
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,48,5,White,0.26,0.19,0.07,Inaccuracy,66,Good,g3,Queen's Pawn Game,knight_development; knight_development,board_images/board_023.png,,,
r1bqkb1r/ppp2ppp/2p2n2/8/4P3/3P4/PPP2PPP/RNBQKB1R b KQkq - 0 5,Bc5,47,10,Black,2.02,2.05,-0.03,Good,-363,Excellent,Bc5,Petroff Defense,bishop_development,board_images/board_024.png,2.05,-1.58,3.63
rnbqkbnr/pppp1ppp/8/4p3/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq - 1 2,Nf6,42,4,Black,0.07,0.08,-0.01,Excellent,-11,Excellent,Nf6,King's Pawn Game,knight_development; knight_development,board_images/board_025.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,40,7,White,0.24,0.27,-0.03,Good,56,Good,cxd5,Queen's Pawn Game,knight_development; knight_development,board_images/board_026.png,,,
rnbqkbnr/pppp1ppp/8/4p3/4PP2/8/PPPP2PP/RNBQKBNR b KQkq - 0 2,d5,38,4,Black,-0.5,-0.23,-0.27,Blunder,61,Good,exf4,King's Pawn Game,pawn_push; central_control,board_images/board_027.png,,,
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,dxe5,36,3,White,1.36,1.31,0.05,Inaccuracy,254,Excellent,dxe5,Queen's Pawn Game,pawn_capture; capture,board_images/board_028.png,,,
rnbqkbnr/pppppp1p/6p1/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c4,34,3,White,0.65,0.46,0.19,Mistake,113,Good,e4,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_029.png,,,
rnbqkb1r/pppp1ppp/5n2/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,d5,31,6,Black,-0.2,-0.22,0.02,Excellent,59,Excellent,d5,King's Pawn Game,pawn_push; central_control,board_images/board_030.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p2B1/2PP4/2N5/PP2PPPP/R2QKBNR b KQkq - 3 4,Be7,30,8,Black,0.2,0.22,-0.02,Excellent,-57,Excellent,Be7,Queen's Gambit,bishop_development; bishop_development,board_images/board_031.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,exd4,29,8,Black,0.07,0.15,-0.08,Inaccuracy,-10,Excellent,exd4,Petroff Defense,pawn_capture; capture,board_images/board_032.png,0.15,0.05,0.10
r1bqkb1r/ppp2ppp/2p2n2/8/4P3/2N5/PPPP1PPP/R1BQKB1R b KQkq - 1 5,Bc5,28,10,Black,1.86,1.84,0.02,Good,-360,Good,Be6,Petroff Defense,bishop_development,board_images/board_033.png,1.84,-1.76,3.60
rnbqkb1r/ppp2ppp/5n2/3pP3/4P3/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 4,Nxe4,28,8,Black,-0.18,-0.24,0.06,Inaccuracy,45,Excellent,Nxe4,King's Pawn Game,tactical; capture,board_images/board_034.png,,,
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,c5,27,4,Black,0.2,0.36,-0.16,Mistake,-65,Inaccuracy,c6,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_035.png,,,
rnbqkbnr/pp3ppp/2p1p3/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,27,7,White,0.53,0.24,0.29,Blunder,79,Good,e4,Queen's Gambit,knight_development; knight_development,board_images/board_036.png,,,
rnbqkbnr/ppp2ppp/8/3Pp3/5P2/8/PPPP2PP/RNBQKBNR b KQkq - 0 3,exf4,27,6,Black,-0.24,-0.32,0.08,Inaccuracy,57,Excellent,exf4,King's Pawn Game,capture,board_images/board_037.png,,,
rnbqkbnr/ppp1pppp/3p4/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c4,27,3,White,0.48,0.3,0.18,Mistake,81,Inaccuracy,Nf3,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_038.png,,,
r1bqkb1r/pppp1ppp/2n5/4p3/2B1N3/5N2/PPPP1PPP/R1BQK2R b KQkq - 0 5,d5,26,10,Black,-0.13,-0.1,-0.03,Good,49,Excellent,d5,Petroff Defense,pawn_push; central_control,board_images/board_039.png,-0.10,0.39,0.49
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq - 0 3,Nc6,25,6,Black,0.19,0.2,-0.01,Excellent,-39,Good,e6,Queen's Pawn Game,knight_development; knight_development,board_images/board_040.png,,,
rnbqkbnr/pp1ppppp/2p5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c4,25,3,White,0.41,0.36,0.05,Good,70,Good,e4,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_041.png,,,
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,e4,25,7,White,0.54,0.55,-0.01,Excellent,109,Excellent,e4,King's Indian Defense,pawn_push; central_control,board_images/board_042.png,,,
r1bqkb1r/pppp1ppp/2n2n2/4p1N1/2B1P3/8/PPPP1PPP/RNBQK2R b KQkq - 5 4,d5,24,8,Black,-0.01,0.17,-0.18,Mistake,-51,Excellent,d5,King's Pawn Game,pawn_push; central_control,board_images/board_043.png,0.17,-0.34,0.51
rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,Nc6,24,6,Black,-0.14,-0.18,0.04,Good,29,Excellent,Nc6,Petroff Defense,knight_development; knight_development,board_images/board_044.png,,,
rnbqkbnr/ppp2ppp/4p3/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,Bxc4,24,7,White,0.32,0.34,-0.02,Good,74,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_045.png,,,
r1bqkb1r/pppp1Bpp/2n5/4p3/4n3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 0 5,Kxf7,24,10,Black,-1.48,-1.44,-0.04,Good,334,Excellent,Kxf7,Petroff Defense,capture,board_images/board_046.png,-1.44,1.90,3.34
r1bq1b1r/pppp1kpp/2n5/4p3/4N3/5N2/PPPP1PPP/R1BQK2R b KQ - 0 6,d5,24,12,Black,-1.51,-1.58,0.07,Inaccuracy,352,Excellent,d5,Petroff Defense,pawn_push; central_control,board_images/board_047.png,-1.58,1.94,3.52
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2,c5,24,4,Black,-0.06,0.09,-0.15,Mistake,-1,Good,Nf6,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_048.png,,,
rnbqkb1r/pp3ppp/4pn2/2pp4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,24,9,White,0.21,0.09,0.12,Mistake,38,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_049.png,,,
rnbqk1nr/ppppppbp/6p1/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,23,5,White,0.47,0.55,-0.08,Inaccuracy,100,Excellent,Nc3,Queen's Pawn Game,knight_development; knight_development,board_images/board_050.png,0.55,1.55,1.00
rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,23,5,White,0.89,0.38,0.51,Blunder,108,Mistake,cxd5,Queen's Gambit,knight_development; knight_development,board_images/board_051.png,0.38,1.46,1.08
rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,exd4,22,4,Black,0.07,-0.01,0.08,Inaccuracy,-2,Excellent,exd4,King's Pawn Game,pawn_capture; capture,board_images/board_052.png,,,
r1bqkb1r/pppp1ppp/2n2n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 5,Bc5,22,10,Black,0.1,0.48,-0.38,Blunder,-57,Good,Bb4,Petroff Defense,bishop_development,board_images/board_053.png,0.48,-0.09,0.57
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 3,Nf6,22,6,Black,0.19,0.25,-0.06,Inaccuracy,-47,Excellent,Nf6,Queen's Gambit,knight_development; knight_development,board_images/board_054.png,,,
rnbqkbnr/ppp2ppp/8/3pp3/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,dxe5,22,5,White,0.73,0.7,0.03,Good,148,Excellent,dxe5,Queen's Gambit,pawn_capture; capture,board_images/board_055.png,,,
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,22,9,White,0.23,0.31,-0.08,Inaccuracy,50,Excellent,Bg5,Queen's Gambit,bishop_development; bishop_development,board_images/board_056.png,,,
rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c4,22,3,White,0.6,0.43,0.17,Mistake,100,Good,Bg5,Dutch Defense,pawn_push; central_control; queenside_attack,board_images/board_057.png,,,
rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c4,21,3,White,0.95,0.59,0.36,Blunder,145,Mistake,e4,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_058.png,,,
rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,c4,21,3,White,1.36,-0.1,1.46,Blunder,92,Inaccuracy,dxe5,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_059.png,,,
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 5 4,Bb4,21,8,Black,0.2,0.21,-0.01,Excellent,-44,Good,Bd6,Petroff Defense,bishop_development,board_images/board_060.png,0.21,-0.23,0.44
r1bqkbnr/pppp1ppp/2n5/4P3/8/8/PPP1PPPP/RNBQKBNR w KQkq - 1 3,e4,20,5,White,1.24,0.64,0.6,Blunder,202,Mistake,Nf3,Queen's Pawn Game,pawn_push; central_control,board_images/board_061.png,,,
r1bqkb1r/ppp2ppp/2n2n2/3Pp1N1/2B5/8/PPPP1PPP/RNBQK2R b KQkq - 0 5,Na5,19,10,Black,0.15,0.21,-0.06,Inaccuracy,12,Excellent,Na5,King's Pawn Game,knight_development,board_images/board_062.png,0.21,0.33,0.12
rnbqkb1r/pppp1ppp/5n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,exd4,19,6,Black,0.28,0.45,-0.17,Mistake,-76,Good,Nxe4,Petroff Defense,pawn_capture; capture,board_images/board_063.png,,,
rnbqkb1r/pp3ppp/2p1pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,19,9,White,0.26,0.29,-0.03,Good,63,Good,e3,Queen's Gambit,bishop_development; bishop_development,board_images/board_064.png,,,
rnbqkbnr/p1p1pppp/8/1p6/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 0 4,a4,19,7,White,0.96,0.93,0.03,Good,172,Excellent,a4,Queen's Gambit,queenside_attack,board_images/board_065.png,,,
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,d5,19,2,Black,0.27,0.25,0.02,Good,-30,Excellent,d5,Unknown,pawn_push; central_control,board_images/board_066.png,,,
rn1qkbnr/pbpppppp/1p6/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,18,5,White,0.68,0.62,0.06,Inaccuracy,108,Good,Qc2,Queen's Pawn Game,knight_development; knight_development,board_images/board_067.png,0.62,1.70,1.08
rn1qkbnr/pp2pppp/2p5/3p1b2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,18,7,White,1.34,0.61,0.73,Blunder,172,Mistake,Qb3,Queen's Pawn Game,knight_development; knight_development,board_images/board_068.png,0.61,2.33,1.72
rn1qkb1r/ppp1pppp/5n2/3p1b2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,Nf3,17,7,White,0.68,0.42,0.26,Blunder,110,Good,cxd5,Queen's Gambit,knight_development; knight_development,board_images/board_069.png,0.42,1.52,1.10
rnbqkbnr/ppp1pppp/8/3p4/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq - 0 2,c5,16,4,Black,0.17,0.24,-0.07,Inaccuracy,-16,Good,e6,Queen's Pawn Game,pawn_push; central_control; queenside_attack,board_images/board_070.png,,,
rnbqkb1r/pp2pppp/2p2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,16,7,White,0.39,0.21,0.18,Mistake,76,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_071.png,,,
rnbqk2r/ppp2ppp/4pn2/3p4/1bPP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 2 5,Bg5,16,9,White,0.27,0.22,0.05,Inaccuracy,55,Excellent,Bg5,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_072.png,,,
rnbqkbnr/pppp1ppp/8/8/2Pp4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Qxd4,16,5,White,-0.14,-0.11,-0.03,Good,-28,Excellent,Qxd4,Queen's Pawn Game,tactical; capture,board_images/board_073.png,,,
r1bqkbnr/pppp1ppp/2n5/8/2PQ4/8/PP2PPPP/RNB1KBNR w KQkq - 1 4,Qd1,16,7,White,-0.08,-0.2,0.12,Mistake,-21,Excellent,Qd1,Queen's Pawn Game,general,board_images/board_074.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Bg5,16,7,White,0.24,0.29,-0.05,Good,59,Good,cxd5,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_075.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Bg5,16,7,White,0.25,0.25,0.0,Best,50,Good,cxd5,Queen's Gambit,bishop_development; bishop_development,board_images/board_076.png,,,
rnbqk2r/ppp1ppbp/3p1np1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 5,Be2,16,9,White,0.56,0.57,-0.01,Excellent,104,Good,h3,King's Indian Defense,bishop_development; bishop_development,board_images/board_077.png,,,
rnbqkb1r/ppp1pppp/5n2/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,15,5,White,0.86,0.27,0.59,Blunder,88,Good,cxd5,Queen's Pawn Game,knight_development; knight_development,board_images/board_078.png,,,
rnbqkb1r/ppp1pppp/5n2/8/2pP4/4P3/PP3PPP/RNBQKBNR w KQkq - 1 4,Bxc4,15,7,White,0.32,0.27,0.05,Good,75,Excellent,Bxc4,Queen's Gambit,capture,board_images/board_079.png,,,
rn1qkb1r/pp2pppp/2p2n2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,15,9,White,0.63,0.29,0.34,Blunder,88,Inaccuracy,Qb3,Queen's Gambit,bishop_development; bishop_development,board_images/board_080.png,0.29,1.17,0.88
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 5,c5,15,10,Black,0.22,0.28,-0.06,Inaccuracy,-59,Inaccuracy,h6,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_081.png,,,
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,15,7,White,0.25,0.2,0.05,Good,47,Good,e3,Queen's Pawn Game,knight_development; knight_development,board_images/board_082.png,,,
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,c5,14,8,Black,0.24,0.32,-0.08,Inaccuracy,-50,Excellent,c5,Queen's Gambit,pawn_push; central_control; queenside_attack,board_images/board_083.png,,,
rnbqk2r/ppp2pp1/4pn1p/3p2B1/1bPP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,Bh4,14,11,White,0.22,-0.09,0.31,Blunder,13,Inaccuracy,Bxf6,Queen's Pawn Game,bishop_development,board_images/board_084.png,,,
r1bqkb1r/ppp2ppp/2n5/3Bp3/4N3/5N2/PPPP1PPP/R1BQK2R b KQkq - 0 6,Qxd5,14,12,Black,-1.35,-1.42,0.07,Inaccuracy,254,Excellent,Qxd5,Petroff Defense,capture,board_images/board_085.png,-1.42,1.12,2.54
rnbqkbnr/pppp1ppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq - 0 3,d5,14,6,Black,-0.31,-0.13,-0.18,Mistake,61,Good,Qe7,King's Pawn Game,pawn_push; central_control,board_images/board_086.png,,,
rnbqk2r/pppp1ppp/4pn2/8/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Bg5,13,7,White,0.25,-0.11,0.36,Blunder,16,Inaccuracy,e3,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_087.png,,,
rn1qkb1r/pp2pppp/2p2n2/3p4/2PP2b1/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,13,9,White,1.06,0.45,0.61,Blunder,145,Mistake,Ne5,Queen's Pawn Game,bishop_development; bishop_development,board_images/board_088.png,0.45,1.90,1.45
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,e5,13,2,Black,0.12,0.27,-0.15,Mistake,-40,Excellent,e5,Unknown,pawn_push; central_control,board_images/board_089.png,,,
r1bqkb1r/ppp2ppp/5n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R b KQkq - 2 6,c6,13,12,Black,0.22,0.17,0.05,Good,-37,Excellent,c6,Petroff Defense,general,board_images/board_090.png,0.17,-0.20,0.37
rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,13,7,White,0.41,0.17,0.24,Blunder,61,Good,cxd5,Queen's Gambit,knight_development; knight_development,board_images/board_091.png,,,
r1bqk2r/ppp2ppp/2p2n2/2b5/4P3/3P4/PPP1BPPP/RNBQK2R b KQkq - 2 6,h5,13,12,Black,1.81,2.28,-0.47,Blunder,-377,Inaccuracy,Ng4,Petroff Defense,pawn_push; kingside_attack,board_images/board_092.png,2.28,-1.49,3.77
rnbqk1nr/ppp2ppp/4p3/3p4/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,13,7,White,0.22,0.25,-0.03,Good,48,Good,e3,Queen's Gambit,knight_development; knight_development,board_images/board_093.png,0.25,0.73,0.48
rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,13,5,White,0.51,0.5,0.01,Excellent,114,Mistake,a3,Dutch Defense,knight_development; knight_development,board_images/board_094.png,,,
r1bq1b1r/ppp2kpp/2n5/3pp1N1/8/5N2/PPPP1PPP/R1BQK2R b KQ - 1 7,Kg8,13,14,Black,-1.98,-1.96,-0.02,Good,396,Excellent,Kg8,Petroff Defense,general,board_images/board_095.png,-1.96,2.00,3.96
rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Nc3,13,5,White,0.45,0.48,-0.03,Good,119,Good,Nf3,Queen's Pawn Game,knight_development; knight_development,board_images/board_096.png,,,
rnbqk2r/ppppppbp/5np1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,Nf3,13,7,White,0.54,0.29,0.25,Blunder,93,Good,e4,King's Indian Defense,knight_development; knight_development,board_images/board_097.png,,,
r1bqkbnr/pp2pppp/2n5/2pp4/3P1B2/2P1P3/PP3PPP/RN1QKBNR b KQkq - 0 4,Nf6,12,8,Black,-0.12,0.05,-0.17,Mistake,-13,Good,Qb6,Queen's Pawn Game,knight_development; knight_development,board_images/board_098.png,,,
r1bqk2r/pppp1ppp/2N2n2/2b5/4P3/2N5/PPP2PPP/R1BQKB1R b KQkq - 0 6,bxc6,12,12,Black,0.36,0.27,0.09,Inaccuracy,-52,Excellent,bxc6,Petroff Defense,capture,board_images/board_099.png,0.27,-0.25,0.52
rn1qkbnr/ppp2ppp/4p3/3p1b2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,Nf3,12,7,White,0.37,0.39,-0.02,Good,73,Excellent,Nf3,Queen's Gambit,knight_development; knight_development,board_images/board_100.png,0.39,1.12,0.73
